surface_area_m2,rooms,bedrooms,bathrooms,floor_level,has_elevator,year_built,has_parking,has_terrace,has_garden,has_pool,city_encoded,neighborhood_encoded,building_type_encoded,rooms_per_surface
144.83570765056163,3,2,1,2,0,1983,1,1,0,0,11,3,3,0.020713124191984206
147.12800217929822,2,1,1,2,0,2008,1,0,1,0,11,4,2,0.01359360536658882
69.35844398327882,3,1,1,5,1,2021,1,0,1,0,5,5,0,0.04325356550275624
149.8860233456304,7,6,3,0,0,1980,1,0,0,0,3,4,4,0.04670215303436476
89.96806550405975,3,1,1,4,1,2003,0,1,0,0,10,1,1,0.033345165122669294
138.7782316920347,1,1,1,1,0,2013,1,0,1,0,5,7,2,0.007205741043156669
96.92671409129083,3,1,1,3,1,2021,1,1,0,1,6,6,5,0.030951219466435614
128.56841405949854,3,1,1,1,0,2012,0,0,1,0,9,4,6,0.023333880424251545
124.82082395151292,4,2,1,0,0,2004,1,1,1,0,6,0,6,0.032045934911900706
106.23495448768035,1,1,1,1,0,1964,1,0,1,0,13,1,4,0.009413097645897386
78.03912383886808,3,2,1,0,0,1993,0,1,1,0,0,4,1,0.038442256299471976
99.48083456568496,5,3,2,2,0,2024,0,1,0,0,0,5,5,0.05026093741401629
138.0818012523817,2,1,1,2,0,1973,0,0,1,1,13,2,3,0.014484167948710788
161.09512521876118,3,1,1,4,1,1982,1,1,1,0,3,0,3,0.018622537435109297
49.07017684922209,3,2,1,1,0,1987,0,0,0,1,0,6,6,0.06113693067009109
164.63147357530812,3,1,1,2,0,2021,0,1,0,0,3,2,0,0.018222518057142315
81.29785346267481,2,1,1,0,0,1960,0,1,1,0,6,4,7,0.024600895531863374
69.0463607315965,3,1,1,2,0,2003,1,1,0,0,4,6,4,0.04344906767297819
130.74694150473775,1,1,1,3,0,2017,1,1,1,1,13,6,1,0.007648362466389043
67.26977652665812,2,1,1,2,0,1960,1,1,1,0,1,3,6,0.029731033805462794
136.90113294375706,6,5,2,2,0,2014,0,1,1,0,5,0,4,0.04382724869388023
86.58766504337939,3,2,1,0,0,1975,0,1,1,0,2,7,0,0.0346469673076071
121.40497316741008,1,1,1,3,1,2018,1,1,1,0,7,1,2,0.008236894864439044
101.72303515837288,4,2,1,1,0,1998,1,0,1,0,10,5,1,0.03932246018586045
144.09895695014472,4,2,1,5,1,1990,0,1,0,1,8,6,3,0.027758701968841577
157.0620317522609,1,1,1,0,0,1968,0,0,0,0,11,1,3,0.006366911142327083
184.9698407132244,2,1,1,5,0,1995,0,1,1,0,14,2,7,0.010812573510839437
209.42969286627311,4,2,1,4,1,1994,0,0,1,1,0,2,3,0.019099488450064792
156.72505324400228,2,1,1,2,0,1979,1,1,1,0,14,2,1,0.012761201598612557
214.8396491326974,3,1,1,5,0,1997,1,1,0,0,8,0,6,0.013963902902052435
163.93367740954477,3,2,1,0,0,1989,0,0,0,0,13,2,7,0.018300083591154346
256.00845832948096,4,2,1,4,0,1989,1,1,1,0,8,1,0,0.015624483761595214
150.34878547843124,2,1,1,0,0,2019,0,1,1,1,7,3,3,0.013302402102123507
96.23713257997622,2,1,1,1,0,2013,1,1,0,0,7,4,0,0.02078199907232205
151.75562754509895,1,1,1,1,0,1961,1,0,0,1,7,7,2,0.006589541463316203
173.30992720488692,2,1,1,0,0,2009,0,1,0,0,9,6,0,0.011540019849154981
83.35244324781384,3,1,1,3,1,1974,1,1,0,0,2,7,3,0.03599174640964929
220.0174044553052,1,1,1,3,1,2008,0,0,1,0,13,5,0,0.004545094977716374
20.423110673429303,4,2,1,3,0,1964,1,1,0,0,11,6,7,0.19585655015834808
141.90112987108375,5,3,1,3,0,1978,1,0,1,0,9,5,1,0.03523580118454636
77.12255571694496,4,3,1,1,0,1960,1,1,0,1,9,1,4,0.051865501121109
161.58542884879236,3,1,1,4,1,2023,0,1,0,0,3,0,0,0.018566030497758096
53.65841169320515,6,4,2,4,1,2016,1,1,0,0,10,3,5,0.11181844207960015
213.6002840236152,3,1,1,1,0,1982,1,0,0,1,12,7,2,0.014044925144707796
197.1533825929542,5,3,1,1,0,1978,1,1,0,0,11,0,7,0.025360964819574384
124.20817605039603,4,3,1,3,1,1983,1,1,0,0,13,7,5,0.03220399918260652
