delegation,gouvernorat,chambres,salle_de_bains,nb_pieces,superficie,etage,prix
Cite Ennasr,ariana,1,1,2.0,65.0,1,175000.0
Cite El Ghazela,ariana,2,1,3.0,100.0,3,270000.0
ariana,ariana,4,2,5.0,140.0,5,390000.0
ariana,ariana,3,1,3.0,124.0,1,400000.0
La Soukra,ariana,3,2,5.0,140.0,2,345000.0
El Menzah 1,ariana,2,1,3.0,70.0,2,230000.0
ariana,ariana,2,1,3.0,102.0,2,275000.0
ariana,ariana,3,1,3.0,140.0,3,130000.0
Cite Ennasr,ariana,1,1,2.0,60.0,1,150000.0
Raoued,ariana,2,1,3.0,120.0,1,340000.0
La Soukra,ariana,3,1,4.0,132.0,2,285000.0
La Soukra,ariana,3,1,4.0,126.0,1,250000.0
El Menzah 1,ariana,2,2,3.0,124.0,1,295000.0
Cite Ennasr,ariana,3,2,4.0,136.0,5,330000.0
Cite Ennasr,ariana,3,2,4.0,148.0,1,350000.0
Cite El Ghazela,ariana,4,1,4.0,160.0,6,430000.0
Cite Ennasr,ariana,2,2,3.0,132.0,1,295000.0
Cite Ennasr,ariana,3,1,4.0,142.0,6,295000.0
Cite Ennasr,ariana,2,2,3.0,108.0,3,380000.0
ariana,ariana,4,2,5.0,144.0,1,240000.0
Cite Ennasr,ariana,2,1,3.0,111.0,1,280000.0
Cite Ennasr,ariana,2,1,3.0,170.0,1,430000.0
ariana,ariana,2,1,3.0,89.0,1,200000.0
Cite Ennasr,ariana,1,1,2.0,65.0,3,200000.0
ariana,ariana,3,2,4.0,220.0,4,490000.0
ariana,ariana,4,1,5.0,115.0,1,350000.0
Raoued,ariana,1,1,2.0,63.0,1,100000.0
ariana,ariana,3,1,4.0,120.0,1,100000.0
ariana,ariana,2,1,3.0,90.0,1,135000.0
ariana,ariana,3,2,4.0,129.0,1,210000.0
Borj Louzir,ariana,2,1,3.0,70.0,1,175000.0
Raoued,ariana,3,1,4.0,200.0,1,700000.0
El Menzah 1,ariana,2,1,3.0,117.0,1,340000.0
Raoued,ariana,3,2,4.0,200.0,1,675000.0
ariana,ariana,1,1,2.0,78.0,2,235000.0
Borj Louzir,ariana,2,1,5.0,120.0,2,100000.0
La Soukra,ariana,2,2,3.0,125.0,2,450000.0
Cite El Ghazela,ariana,1,1,2.0,63.0,2,170000.0
Raoued,ariana,3,2,4.0,135.0,5,240000.0
La Soukra,ariana,4,2,5.0,170.0,1,400000.0
Cite Ennasr,ariana,1,1,2.0,78.0,2,235000.0
La Soukra,ariana,1,1,1.0,50.0,1,170000.0
Borj Louzir,ariana,3,2,4.0,260.0,1,445000.0
Raoued,ariana,2,2,3.0,163.0,3,250000.0
El Menzah 1,ariana,2,1,3.0,100.0,1,250000.0
ariana,ariana,2,1,3.0,74.0,5,280000.0
El Menzah 1,ariana,2,1,3.0,100.0,1,265000.0
El Menzah 1,ariana,3,2,7.0,112.0,3,315000.0
