gouvernorat,delegation,superficie,nb_pieces,chambres,salle_de_bains,etat,etage,prix
tunis,Aouina,88,3.0,2,1,Moins d'un an,1,340000.0
tunis,El Ouardia,100,2.0,2,1,nan,1,135000.0
tunis,Ariana Ville,152,2.0,2,1,nan,1,680000.0
tunis,Ariana Ville,120,2.0,1,1,Moins d'un an,1,470000.0
tunis,El Manar,145,4.0,3,1,Bon état,4,260000.0
tunis,Ariana Ville,132,3.0,2,2,Nouveau,5,620000.0
tunis,Ariana Ville,145,2.0,2,1,nan,1,550000.0
tunis,Gammarth,209,3.0,3,1,Nouveau,1,774000.0
tunis,Aouina,80,2.0,2,1,Nouveau,1,250000.0
tunis,El Ouardia,65,2.0,2,1,nan,1,125000.0
tunis,Ariana Ville,249,2.0,2,1,nan,1,1270000.0
tunis,Aouina,30,2.0,1,1,Nouveau,1,275000.0
tunis,Gammarth,242,5.0,3,2,Nouveau,1,900000.0
tunis,Ain Zaghouan,164,4.0,3,3,Moins d'un an,3,538000.0
tunis,Ariana Ville,99,3.0,2,2,Moins d'un an,1,334000.0
tunis,Ariana Ville,147,4.0,3,3,Moins d'un an,1,698000.0
tunis,Aouina,68,2.0,1,1,Moins d'un an,1,255000.0
tunis,Gammarth,139,3.0,2,1,Nouveau,1,584000.0
tunis,Gammarth,158,3.0,2,2,1-5 ans,2,750000.0
tunis,Ariana Ville,191,3.0,2,1,Nouveau,1,1146000.0
tunis,Ain Zaghouan,146,4.0,3,3,Nouveau,1,650000.0
tunis,Ain Zaghouan,93,3.0,2,1,Bon état,1,235000.0
tunis,Gammarth,133,3.0,2,1,Nouveau,1,513000.0
tunis,Ain Zaghouan,73,2.0,1,1,Bon état,1,210000.0
tunis,Ariana Ville,131,2.0,1,1,nan,1,386000.0
tunis,Gammarth,250,4.0,3,2,1-5 ans,1,740000.0
tunis,Ain Zaghouan,160,1.0,3,2,1-5 ans,6,350000.0
tunis,Aouina,127,3.0,1,1,1-5 ans,1,420000.0
tunis,Ariana Ville,288,6.0,5,3,Bon état,1,980000.0
tunis,Ain Zaghouan,172,4.0,2,1,Bon état,1,750000.0
tunis,Ariana Ville,50,1.0,1,1,1-5 ans,1,240000.0
tunis,Ariana Ville,150,4.0,3,2,Moins d'un an,1,695000.0
tunis,Aouina,195,5.0,4,2,5-10 ans,4,395000.0
tunis,Ariana Ville,300,3.0,2,1,Bon état,1,550000.0
tunis,Ain Zaghouan,120,2.0,2,1,Moins d'un an,1,370000.0
tunis,Ain Zaghouan,116,3.0,2,1,Bon état,1,280000.0
tunis,Ariana Ville,121,2.0,1,1,Moins d'un an,1,470000.0
tunis,Ariana Ville,210,3.0,1,1,Moins d'un an,1,430000.0
tunis,Le Bardo,30,2.0,1,1,Bon état,1,180000.0
tunis,El Menzah 7,140,4.0,3,1,Bon état,1,285000.0
tunis,Ariana Ville,100,2.0,2,1,1-5 ans,3,220000.0
tunis,Ariana Ville,170,3.0,3,1,1-5 ans,1,780000.0
tunis,El Menzah 7,117,2.0,2,1,5-10 ans,5,380000.0
tunis,Les Berges Du Lac,194,4.0,3,2,Bon état,1,860000.0
tunis,Aouina,57,1.0,1,1,Nouveau,1,206000.0
tunis,Ariana Ville,61,2.0,2,1,nan,1,370000.0
tunis,El Menzah 7,130,3.0,2,1,1-5 ans,4,400000.0
tunis,Ariana Ville,67,2.0,1,1,Bon état,1,280000.0
tunis,Ariana Ville,127,3.0,2,1,5-10 ans,1,365000.0
tunis,Ain Zaghouan,85,2.0,1,1,Moins d'un an,3,415000.0
tunis,Ariana Ville,199,4.0,3,3,Bon état,1,620000.0
tunis,Ain Zaghouan,45,1.0,1,1,Moins d'un an,3,245000.0
tunis,Ain Zaghouan,74,1.0,2,1,Nouveau,1,259500.0
tunis,Ain Zaghouan,164,3.0,2,2,Nouveau,1,472000.0
tunis,Ain Zaghouan,66,2.0,1,1,Nouveau,1,238000.0
tunis,Ain Zaghouan,102,3.0,2,1,Nouveau,1,375000.0
tunis,Ain Zaghouan,137,3.0,2,2,Nouveau,1,434000.0
tunis,Aouina,60,2.0,1,1,Bon état,1,170000.0
tunis,Cite El Khadra,141,3.0,2,2,5-10 ans,1,385000.0
tunis,La Goulette,178,4.0,3,3,Moins d'un an,3,680000.0
tunis,Ariana Ville,300,5.0,4,5,1-5 ans,9,1490000.0
tunis,Les Berges Du Lac,300,9.0,9,2,10-20 ans,4,990000.0
tunis,Aouina,132,3.0,3,2,10-20 ans,4,320000.0
tunis,Ain Zaghouan,236,5.0,4,3,Moins d'un an,1,1100000.0
tunis,Cite El Khadra,87,4.0,2,1,Bon état,2,255000.0
tunis,Ariana Ville,100,3.0,2,1,1-5 ans,1,383000.0
tunis,Aouina,54,2.0,1,1,Moins d'un an,5,180000.0
tunis,Ain Zaghouan,140,3.0,2,1,Bon état,1,450000.0
tunis,Ain Zaghouan,150,4.0,3,1,1-5 ans,1,390000.0
