delegation,superficie,nb_pieces,chambres,salle_de_bains,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
9.0,88.0,3.0,2,1,1,0.0,0.0,0.0,1.0,340000.0
23.0,100.0,2.0,2,1,1,0.0,0.0,0.0,1.0,135000.0
33.0,152.0,2.0,2,1,1,0.0,0.0,0.0,1.0,680000.0
33.0,120.0,2.0,1,1,1,0.0,0.0,0.0,1.0,470000.0
28.0,145.0,4.0,3,1,4,0.0,0.0,0.0,1.0,260000.0
33.0,132.0,3.0,2,2,5,0.0,0.0,0.0,1.0,620000.0
33.0,145.0,2.0,2,1,1,0.0,0.0,0.0,1.0,550000.0
57.0,209.0,3.0,3,1,1,0.0,0.0,0.0,1.0,774000.0
9.0,80.0,2.0,2,1,1,0.0,0.0,0.0,1.0,250000.0
23.0,65.0,2.0,2,1,1,0.0,0.0,0.0,1.0,125000.0
33.0,249.0,2.0,2,1,1,0.0,0.0,0.0,1.0,1270000.0
9.0,30.0,2.0,1,1,1,0.0,0.0,0.0,1.0,275000.0
57.0,242.0,5.0,3,2,1,0.0,0.0,0.0,1.0,900000.0
21.0,164.0,4.0,3,3,3,0.0,0.0,0.0,1.0,538000.0
33.0,99.0,3.0,2,2,1,0.0,0.0,0.0,1.0,334000.0
33.0,147.0,4.0,3,3,1,0.0,0.0,0.0,1.0,698000.0
9.0,68.0,2.0,1,1,1,0.0,0.0,0.0,1.0,255000.0
57.0,139.0,3.0,2,1,1,0.0,0.0,0.0,1.0,584000.0
57.0,158.0,3.0,2,2,2,0.0,0.0,0.0,1.0,750000.0
33.0,191.0,3.0,2,1,1,0.0,0.0,0.0,1.0,1146000.0
21.0,146.0,4.0,3,3,1,0.0,0.0,0.0,1.0,650000.0
21.0,93.0,3.0,2,1,1,0.0,0.0,0.0,1.0,235000.0
57.0,133.0,3.0,2,1,1,0.0,0.0,0.0,1.0,513000.0
21.0,73.0,2.0,1,1,1,0.0,0.0,0.0,1.0,210000.0
33.0,131.0,2.0,1,1,1,0.0,0.0,0.0,1.0,386000.0
57.0,250.0,4.0,3,2,1,0.0,0.0,0.0,1.0,740000.0
21.0,160.0,1.0,3,2,6,0.0,0.0,0.0,1.0,350000.0
9.0,127.0,3.0,1,1,1,0.0,0.0,0.0,1.0,420000.0
33.0,288.0,6.0,5,3,1,0.0,0.0,0.0,1.0,980000.0
21.0,172.0,4.0,2,1,1,0.0,0.0,0.0,1.0,750000.0
33.0,50.0,1.0,1,1,1,0.0,0.0,0.0,1.0,240000.0
33.0,150.0,4.0,3,2,1,0.0,0.0,0.0,1.0,695000.0
9.0,195.0,5.0,4,2,4,0.0,0.0,0.0,1.0,395000.0
33.0,300.0,3.0,2,1,1,0.0,0.0,0.0,1.0,550000.0
21.0,120.0,2.0,2,1,1,0.0,0.0,0.0,1.0,370000.0
21.0,116.0,3.0,2,1,1,0.0,0.0,0.0,1.0,280000.0
33.0,121.0,2.0,1,1,1,0.0,0.0,0.0,1.0,470000.0
33.0,210.0,3.0,1,1,1,0.0,0.0,0.0,1.0,430000.0
20.0,30.0,2.0,1,1,1,0.0,0.0,0.0,1.0,180000.0
19.0,140.0,4.0,3,1,1,0.0,0.0,0.0,1.0,285000.0
33.0,100.0,2.0,2,1,3,0.0,0.0,0.0,1.0,220000.0
33.0,170.0,3.0,3,1,1,0.0,0.0,0.0,1.0,780000.0
19.0,117.0,2.0,2,1,5,0.0,0.0,0.0,1.0,380000.0
62.0,194.0,4.0,3,2,1,0.0,0.0,0.0,1.0,860000.0
9.0,57.0,1.0,1,1,1,0.0,0.0,0.0,1.0,206000.0
33.0,61.0,2.0,2,1,1,0.0,0.0,0.0,1.0,370000.0
19.0,130.0,3.0,2,1,4,0.0,0.0,0.0,1.0,400000.0
33.0,67.0,2.0,1,1,1,0.0,0.0,0.0,1.0,280000.0
33.0,127.0,3.0,2,1,1,0.0,0.0,0.0,1.0,365000.0
21.0,85.0,2.0,1,1,3,0.0,0.0,0.0,1.0,415000.0
33.0,199.0,4.0,3,3,1,0.0,0.0,0.0,1.0,620000.0
21.0,45.0,1.0,1,1,3,0.0,0.0,0.0,1.0,245000.0
21.0,74.0,1.0,2,1,1,0.0,0.0,0.0,1.0,259500.0
21.0,164.0,3.0,2,2,1,0.0,0.0,0.0,1.0,472000.0
21.0,66.0,2.0,1,1,1,0.0,0.0,0.0,1.0,238000.0
21.0,102.0,3.0,2,1,1,0.0,0.0,0.0,1.0,375000.0
21.0,137.0,3.0,2,2,1,0.0,0.0,0.0,1.0,434000.0
9.0,60.0,2.0,1,1,1,0.0,0.0,0.0,1.0,170000.0
29.0,141.0,3.0,2,2,1,0.0,0.0,0.0,1.0,385000.0
35.0,178.0,4.0,3,3,3,0.0,0.0,0.0,1.0,680000.0
33.0,300.0,5.0,4,5,9,0.0,0.0,0.0,1.0,1490000.0
62.0,300.0,9.0,9,2,4,0.0,0.0,0.0,1.0,990000.0
9.0,132.0,3.0,3,2,4,0.0,0.0,0.0,1.0,320000.0
21.0,236.0,5.0,4,3,1,0.0,0.0,0.0,1.0,1100000.0
29.0,87.0,4.0,2,1,2,0.0,0.0,0.0,1.0,255000.0
33.0,100.0,3.0,2,1,1,0.0,0.0,0.0,1.0,383000.0
9.0,54.0,2.0,1,1,5,0.0,0.0,0.0,1.0,180000.0
21.0,140.0,3.0,2,1,1,0.0,0.0,0.0,1.0,450000.0
21.0,150.0,4.0,3,1,1,0.0,0.0,0.0,1.0,390000.0
21.0,180.0,4.0,3,3,1,0.0,0.0,0.0,1.0,970000.0
33.0,125.0,3.0,2,2,4,0.0,0.0,0.0,1.0,590000.0
21.0,140.0,3.0,2,3,1,0.0,0.0,0.0,1.0,620000.0
33.0,60.0,2.0,1,1,1,0.0,0.0,0.0,1.0,336000.0
57.0,175.0,4.0,3,2,2,0.0,0.0,0.0,1.0,490000.0
33.0,141.0,3.0,2,3,1,0.0,0.0,0.0,1.0,649000.0
