surface_area_m2,total_rooms,rooms,bathrooms,floor_level,prix,price_tnd,city,city_encoded,price_per_m2,rooms_per_surface
88.0,3.0,2,1,1,340000.0,340000.0,tunis,3,3863.6363636363635,0.022727272727272728
100.0,2.0,2,1,1,135000.0,135000.0,tunis,3,1350.0,0.02
152.0,2.0,2,1,1,680000.0,680000.0,tunis,3,4473.684210526316,0.013157894736842105
120.0,2.0,1,1,1,470000.0,470000.0,tunis,3,3916.6666666666665,0.008333333333333333
145.0,4.0,3,1,4,260000.0,260000.0,tunis,3,1793.103448275862,0.020689655172413793
132.0,3.0,2,2,5,620000.0,620000.0,tunis,3,4696.969696969697,0.015151515151515152
145.0,2.0,2,1,1,550000.0,550000.0,tunis,3,3793.103448275862,0.013793103448275862
209.0,3.0,3,1,1,774000.0,774000.0,tunis,3,3703.349282296651,0.014354066985645933
80.0,2.0,2,1,1,250000.0,250000.0,tunis,3,3125.0,0.025
65.0,2.0,2,1,1,125000.0,125000.0,tunis,3,1923.076923076923,0.03076923076923077
249.0,2.0,2,1,1,1270000.0,1270000.0,tunis,3,5100.401606425703,0.008032128514056224
30.0,2.0,1,1,1,275000.0,275000.0,tunis,3,9166.666666666666,0.03333333333333333
242.0,5.0,3,2,1,900000.0,900000.0,tunis,3,3719.00826446281,0.012396694214876033
164.0,4.0,3,3,3,538000.0,538000.0,tunis,3,3280.487804878049,0.018292682926829267
99.0,3.0,2,2,1,334000.0,334000.0,tunis,3,3373.7373737373737,0.020202020202020204
147.0,4.0,3,3,1,698000.0,698000.0,tunis,3,4748.299319727891,0.02040816326530612
68.0,2.0,1,1,1,255000.0,255000.0,tunis,3,3750.0,0.014705882352941176
139.0,3.0,2,1,1,584000.0,584000.0,tunis,3,4201.438848920863,0.014388489208633094
158.0,3.0,2,2,2,750000.0,750000.0,tunis,3,4746.835443037975,0.012658227848101266
191.0,3.0,2,1,1,1146000.0,1146000.0,tunis,3,6000.0,0.010471204188481676
146.0,4.0,3,3,1,650000.0,650000.0,tunis,3,4452.054794520548,0.02054794520547945
93.0,3.0,2,1,1,235000.0,235000.0,tunis,3,2526.8817204301076,0.021505376344086023
133.0,3.0,2,1,1,513000.0,513000.0,tunis,3,3857.1428571428573,0.015037593984962405
73.0,2.0,1,1,1,210000.0,210000.0,tunis,3,2876.7123287671234,0.0136986301369863
131.0,2.0,1,1,1,386000.0,386000.0,tunis,3,2946.5648854961833,0.007633587786259542
250.0,4.0,3,2,1,740000.0,740000.0,tunis,3,2960.0,0.012
160.0,1.0,3,2,6,350000.0,350000.0,tunis,3,2187.5,0.01875
127.0,3.0,1,1,1,420000.0,420000.0,tunis,3,3307.0866141732286,0.007874015748031496
