city,neighborhood,address,building_type,surface_area_m2,rooms,bedrooms,bathrooms,floor_level,has_elevator,year_built,age,has_parking,has_terrace,has_garden,has_pool,price_tnd
Sidi Bou Said,Luxueux,"Luxueux, Sidi Bou Said",Maison,144.83570765056163,3,2,1,2,False,1983,43,True,True,False,False,887000
Sidi Bou Said,Populaire,"Populaire, Sidi Bou Said",Duplex,147.12800217929822,2,1,1,2,False,2008,18,True,False,True,False,536000
Kairouan,Périphérie,"Périphérie, Kairouan",Appartement,69.35844398327882,3,1,1,5,True,2021,5,True,False,True,False,176000
Gammarth,Populaire,"Populaire, Gammarth",Penthouse,149.8860233456304,7,6,3,0,False,1980,46,True,False,False,False,729000
Sfax,Centre Ville,"Centre Ville, Sfax",Dar (Maison Traditionnelle),89.96806550405975,3,1,1,4,True,2003,23,False,True,False,False,354000
Kairouan,Touristique,"Touristique, Kairouan",Duplex,138.7782316920347,1,1,1,1,False,2013,13,True,False,True,False,466000
La Marsa,Résidentiel,"Résidentiel, La Marsa",Riad,96.92671409129083,3,1,1,3,True,2021,5,True,True,False,True,1173000
Nabeul,Populaire,"Populaire, Nabeul",Studio,128.56841405949854,3,1,1,1,False,2012,14,False,False,True,False,143000
La Marsa,Agricole,"Agricole, La Marsa",Studio,124.82082395151292,4,2,1,0,False,2004,22,True,True,True,False,298000
Tozeur,Centre Ville,"Centre Ville, Tozeur",Penthouse,106.23495448768035,1,1,1,1,False,1964,62,True,False,True,False,275000
Bizerte,Populaire,"Populaire, Bizerte",Dar (Maison Traditionnelle),78.03912383886808,3,2,1,0,False,1993,33,False,True,True,False,182000
Bizerte,Périphérie,"Périphérie, Bizerte",Riad,99.48083456568497,5,3,2,2,False,2024,2,False,True,False,False,339000
Tozeur,Côtière,"Côtière, Tozeur",Maison,138.0818012523817,2,1,1,2,False,1973,53,False,False,True,True,234000
Gammarth,Agricole,"Agricole, Gammarth",Maison,161.09512521876118,3,1,1,4,True,1982,44,True,True,True,False,557000
Bizerte,Résidentiel,"Résidentiel, Bizerte",Studio,49.07017684922209,3,2,1,1,False,1987,39,False,False,False,True,103000
Gammarth,Côtière,"Côtière, Gammarth",Appartement,164.63147357530812,3,1,1,2,False,2021,5,False,True,False,False,735000
La Marsa,Populaire,"Populaire, La Marsa",Villa,81.29785346267481,2,1,1,0,False,1960,66,False,True,True,False,361000
Hammamet,Résidentiel,"Résidentiel, Hammamet",Penthouse,69.0463607315965,3,1,1,2,False,2003,23,True,True,False,False,551000
Tozeur,Résidentiel,"Résidentiel, Tozeur",Dar (Maison Traditionnelle),130.74694150473775,1,1,1,3,False,2017,9,True,True,True,True,373000
Djerba,Luxueux,"Luxueux, Djerba",Studio,67.26977652665812,2,1,1,2,False,1960,66,True,True,True,False,322000
Kairouan,Agricole,"Agricole, Kairouan",Penthouse,136.90113294375706,6,5,2,2,False,2014,12,False,True,True,False,237000
Gabes,Touristique,"Touristique, Gabes",Appartement,86.58766504337939,3,2,1,0,False,1975,51,False,True,True,False,190000
Mahdia,Centre Ville,"Centre Ville, Mahdia",Duplex,121.40497316741009,1,1,1,3,True,2018,8,True,True,True,False,470000
Sfax,Périphérie,"Périphérie, Sfax",Dar (Maison Traditionnelle),101.72303515837287,4,2,1,1,False,1998,28,True,False,True,False,300000
Monastir,Résidentiel,"Résidentiel, Monastir",Maison,144.09895695014472,4,2,1,5,True,1990,36,False,True,False,True,520000
Sidi Bou Said,Centre Ville,"Centre Ville, Sidi Bou Said",Maison,157.0620317522609,1,1,1,0,False,1968,58,False,False,False,False,644000
Tunis,Côtière,"Côtière, Tunis",Villa,184.96984071322436,2,1,1,5,False,1995,31,False,True,True,False,1072000
Bizerte,Côtière,"Côtière, Bizerte",Maison,209.42969286627311,4,2,1,4,True,1994,32,False,False,True,True,530000
Tunis,Côtière,"Côtière, Tunis",Dar (Maison Traditionnelle),156.72505324400228,2,1,1,2,False,1979,47,True,True,True,False,799000
Monastir,Agricole,"Agricole, Monastir",Studio,214.8396491326974,3,1,1,5,False,1997,29,True,True,False,False,209000
Tozeur,Côtière,"Côtière, Tozeur",Villa,163.93367740954477,3,2,1,0,False,1989,37,False,False,False,False,342000
Monastir,Centre Ville,"Centre Ville, Monastir",Appartement,256.00845832948096,4,2,1,4,False,1989,37,True,True,True,False,761000
Mahdia,Luxueux,"Luxueux, Mahdia",Maison,150.34878547843124,2,1,1,0,False,2019,7,False,True,True,True,588000
Mahdia,Populaire,"Populaire, Mahdia",Appartement,96.23713257997622,2,1,1,1,False,2013,13,True,True,False,False,168000
Mahdia,Touristique,"Touristique, Mahdia",Duplex,151.75562754509895,1,1,1,1,False,1961,65,True,False,False,True,475000
Nabeul,Résidentiel,"Résidentiel, Nabeul",Appartement,173.30992720488692,2,1,1,0,False,2009,17,False,True,False,False,298000
Gabes,Touristique,"Touristique, Gabes",Maison,83.35244324781384,3,1,1,3,True,1974,52,True,True,False,False,194000
Tozeur,Périphérie,"Périphérie, Tozeur",Appartement,220.01740445530518,1,1,1,3,True,2008,18,False,False,True,False,262000
Sidi Bou Said,Résidentiel,"Résidentiel, Sidi Bou Said",Villa,20.423110673429306,4,2,1,3,False,1964,62,True,True,False,False,437000
